id,x,y,z,prop
0,5e-06,0.0,0.0,Sol
38,8.026508,0.015848,-41.532715,
57,10.374188,0.030419,-28.00908,
169,5.67201,0.053101,-14.239841,
171,10.834733,0.102555,5.540428,
428,7.843761,0.177365,8.064194,
435,5.993342,0.138488,-14.714076,
442,3.448844,0.081384,-2.633508,
472,7.878784,0.195428,8.107843,
517,11.23803,0.307211,18.300258,
522,6.835774,0.188543,-15.24491,
706,3.197613,0.123498,57.019761,
744,8.600014,0.344589,14.409503,Caph
812,10.551931,0.46238,-77.346312,
901,7.864147,0.382987,-174.342404,
1029,10.708246,0.600442,-17.105583,
1066,7.061621,0.40914,18.745971,
1090,3.171508,0.18905,19.329227,
1111,11.704529,0.709911,-42.828776,
1240,4.779241,0.32306,-1.385667,
1291,3.075498,0.217909,-17.224019,
1344,4.800504,0.354114,32.849703,
1365,11.300858,0.845066,9.833173,
1472,2.571275,0.20667,2.493057,
1595,3.631914,0.318885,-7.774227,
1619,10.663042,0.946103,-47.204113,
1645,3.525369,0.319624,-86.88442,
1856,4.240884,0.436015,18.748497,
2016,1.635267,0.184517,-7.275205,
2114,5.558583,0.654911,15.497463,
2287,8.544559,1.098615,53.870913,
2416,8.570709,1.163299,37.522191,
2420,7.680802,1.042799,25.952795,
2534,11.188406,1.585223,-22.26539,
2547,3.855636,0.550293,9.281315,
2760,9.2952,1.442211,-163.395567,
2791,8.998992,1.410909,48.019591,
3001,3.776991,0.636171,41.093084,
3047,2.956201,0.50466,-37.375175,
3087,10.155576,1.761632,4.008362,
3108,10.640348,1.859827,-143.686872,
3119,2.358827,0.413009,246.901987,
3126,4.278989,0.75041,32.970427,
3349,10.527907,1.985631,128.58676,
3412,5.750296,1.106362,49.832729,
3463,4.56833,0.895571,-64.810322,
3490,8.922183,1.760752,-20.094339,
3525,8.901363,1.773739,36.235686,
3552,2.128386,0.428577,-149.684856,
3575,10.027401,2.02916,-11.185157,
3580,11.537178,2.33703,-10.565376,
3708,9.882061,2.086451,-76.798013,
3759,7.258368,1.555495,0.686093,96 G. Psc
3814,3.098462,0.674227,5.038376,
3820,4.146957,0.903519,0.400348,Van Maanen's Star
3866,7.06842,1.559744,20.383664,
3901,6.24252,1.388649,-58.335913,
3927,10.491115,2.352447,4.971757,
3993,10.932282,2.494327,-55.832721,
4002,9.48222,2.167246,15.750178,
4031,7.771697,1.788314,39.64256,
4142,8.810315,2.077392,16.413746,
4273,9.340128,2.280543,87.190914,
4444,8.474835,2.155228,22.832174,
4463,8.869515,2.266133,-17.39647,
4559,10.568623,2.756147,-5.772468,
